ID,oneway,coords
30260336,no,"[(-12.6033139, -55.751622), (-12.6016345, -55.7502094), (-12.6011421, -55.7497795), (-12.6007538, -55.7494268), (-12.6001576, -55.7489543), (-12.5996747, -55.7485418)]"
30260339,yes,"[(-12.5744379, -55.728482), (-12.5742043, -55.7283096), (-12.5739251, -55.7281186), (-12.5735933, -55.727869), (-12.5734273, -55.7277361), (-12.5732506, -55.7276193), (-12.5731577, -55.7275555), (-12.5728907, -55.7274185), (-12.5724889, -55.727216), (-12.5721302, -55.7270055), (-12.5718122, -55.7267942), (-12.5717244, -55.7267399), (-12.5715634, -55.7266246), (-12.5713169, -55.7264186), (-12.5709125, -55.7261264), (-12.5707744, -55.7260371), (-12.5707155, -55.7259989), (-12.5704355, -55.7258289), (-12.5700051, -55.7255952), (-12.569388, -55.7252218), (-12.5687692, -55.7247799), (-12.5684433, -55.72458), (-12.5675781, -55.724026), (-12.5673026, -55.7238307), (-12.5670519, -55.7236485), (-12.5666973, -55.7233991), (-12.5663766, -55.7232008), (-12.5661074, -55.7230719), (-12.56569, -55.7228656), (-12.5655405, -55.722767), (-12.5651783, -55.7225281), (-12.5647801, -55.7222655), (-12.5641915, -55.7218214), (-12.5638867, -55.7215967), (-12.5635123, -55.7213751), (-12.5631828, -55.7211835), (-12.5628593, -55.7209792), (-12.5616212, -55.7201678), (-12.5607552, -55.7196095), (-12.5593091, -55.7186739)]"
30260340,yes,"[(-12.5358056, -55.7060279), (-12.5374447, -55.7063229), (-12.5384095, -55.7065429), (-12.538979, -55.7066837), (-12.5394306, -55.7068205), (-12.5398456, -55.7069385), (-12.5402658, -55.7070699), (-12.5406298, -55.7072201), (-12.5409204, -55.7073288), (-12.5413288, -55.7075065), (-12.5415965, -55.7076151), (-12.5417818, -55.7077036), (-12.5419297, -55.7077941), (-12.542128, -55.7079282), (-12.5425129, -55.7082012), (-12.5427106, -55.7083098), (-12.5428212, -55.7083715), (-12.5429334, -55.7084411), (-12.5432205, -55.7085975), (-12.5438148, -55.7089649), (-12.5443777, -55.7093324), (-12.5452993, -55.7099466), (-12.5455107, -55.7100888)]"
30260343,yes,"[(-12.5581862, -55.7179449), (-12.5570941, -55.7172372)]"
32232576,yes,"[(-15.5882192, -56.083826), (-15.587702, -56.0844292), (-15.587448, -56.0847779), (-15.5872698, -56.0850559)]"
32233749,yes,"[(-15.6233868, -56.1173527), (-15.6230691, -56.117641), (-15.6227024, -56.1179739), (-15.6226307, -56.1180378), (-15.6222283, -56.1183965), (-15.6210512, -56.1194458), (-15.6207721, -56.1196946), (-15.6207288, -56.1197332), (-15.6205506, -56.1198874), (-15.6203814, -56.1199947), (-15.6203583, -56.1200062), (-15.6202419, -56.1200644), (-15.6201618, -56.1201006)]"
32250378,yes,"[(-15.6281358, -56.1142226), (-15.6283781, -56.1144691), (-15.6286352, -56.1147299), (-15.6286426, -56.1147374), (-15.6290693, -56.1151064), (-15.6294645, -56.1154227), (-15.629784, -56.1156731), (-15.6305505, -56.1161699), (-15.6323313, -56.1172096), (-15.6324495, -56.1172776), (-15.6329668, -56.1175799), (-15.6339058, -56.1181285), (-15.6346832, -56.1185827), (-15.6348112, -56.1186574), (-15.6363975, -56.119585), (-15.6367164, -56.1198035), (-15.6369138, -56.1199101), (-15.6369245, -56.1199159), (-15.637238, -56.1200852), (-15.6373668, -56.1201576), (-15.6375586, -56.120285), (-15.6376251, -56.1203232), (-15.637728, -56.1203788), (-15.6377839, -56.1204124), (-15.6378317, -56.1204493), (-15.6378892, -56.1204976), (-15.6379271, -56.1205379), (-15.6379722, -56.1206054)]"
32250379,yes,"[(-15.6256057, -56.1154571), (-15.6257656, -56.1153607), (-15.6259764, -56.1151895), (-15.6262502, -56.1149615), (-15.6264636, -56.1147735), (-15.6269295, -56.1143473), (-15.6272111, -56.1140791), (-15.6273015, -56.1140093), (-15.627419, -56.1139557), (-15.6274939, -56.1139476), (-15.627543, -56.1139476), (-15.627654, -56.1139619), (-15.627732, -56.1139771), (-15.6277975, -56.1139993), (-15.6278718, -56.1140359), (-15.6279595, -56.1140978), (-15.6281358, -56.1142226)]"
32315489,yes,"[(-15.5882829, -56.0838805), (-15.588739, -56.083384)]"
32315490,yes,"[(-15.588739, -56.083384), (-15.589824, -56.0821789)]"
32315492,yes,"[(-15.588676, -56.0833309), (-15.5885123, -56.0835083), (-15.5884532, -56.0835723), (-15.5882192, -56.083826)]"
32500266,yes,"[(-15.6489106, -56.1472406), (-15.6489183, -56.1471536), (-15.6489238, -56.1470921), (-15.6489317, -56.146983)]"
